,Rneck,Delta V (mV) Spine Head,Delta V (mV) Dendritic Shaft
174,34.76164545656417,13.986130063673968,12.392597167474406
175,35.12910556676413,13.999903154362272,12.388907065438083
176,35.205890429059004,14.002780132820732,12.388136086398944
177,36.427076732047404,14.048486672160742,12.375879814946941
178,36.72640740964517,14.059676071250763,12.372877248528255
179,37.02907518866357,14.070984678160471,12.369841893454158
180,37.3425536467904,14.082691358684045,12.366698866934762
181,37.391944988102814,14.084535309867476,12.366203725053097
182,37.466269843857816,14.08730983988012,12.365458665001029
183,37.92795032568214,14.1045368265343,12.360831600456642
184,38.730171629326904,14.134614631380522,12.352795768128473
185,39.217684657507114,14.1530897352743,12.347915066182964
186,39.3178074405934,14.156882251261536,12.34691295357944
187,39.686500634301154,14.170842583009623,12.343223541060212
188,40.44262543924182,14.199446948398979,12.335661113854734
189,40.900019508760344,14.216733500709779,12.33108906959675
190,41.943412033361476,14.256120085715835,12.32066709043491
191,42.142559849970674,14.26363025410729,12.31867912386273
192,42.202617509750965,14.265894658368829,12.318079685451394
193,42.409241496900734,14.273683540521283,12.31601764085697
194,42.46576844358243,14.275813934868111,12.31545359469407
195,43.03466992833691,14.29724424853287,12.309778727935779
196,43.04697837860482,14.297707692288306,12.30965598661654
197,43.31989524329423,14.307981400479513,12.30693483587337
198,43.382341155458704,14.310331505143239,12.306312321992642
199,43.694436532651665,14.322266395564299,12.303201708022165
200,44.2817770857865,14.344735619144089,12.297350586016485
201,44.47528960763631,14.352134037931329,12.295423619045081
202,44.95836018017242,14.37059305901159,12.290615065833293
203,45.86694690434288,14.405273866935985,12.281577869905021
204,46.016668641820935,14.41098401502935,12.280089563011096
205,46.628643178562875,14.434309855857322,12.27400888620376
206,46.67865093117304,14.436214952749772,12.273512191119998
207,46.76790999479433,14.439614998175486,12.27262570796622
208,46.79740509919002,14.440738418130358,12.272332794650978
209,47.125898604046895,14.453246709582459,12.269071240865117
210,47.57115824303227,14.470190998503078,12.264652338337463
211,47.574160406576574,14.470305205698097,12.264622551699397
212,47.70182284087492,14.475161197073554,12.263356018887663
213,47.984458648857476,14.485908610720422,12.260552686694915
214,48.044120995737465,14.488176709754057,12.259961044336926
215,48.073556817134296,14.489295652380001,12.25966915899997
216,48.14190757340191,14.491893670442586,12.258991433192662
217,48.34127547181639,14.499470090360141,12.25701493309542
218,49.3529571790447,14.538399041214198,12.247027067904384
219,50.20348871390792,14.571203299209301,12.238670730424346
220,50.3500338748002,14.576851013079335,12.237231824118851
221,50.628798766267714,14.587590788029658,12.234495387811243
222,50.63468219664534,14.587817404387692,12.234437644480927
223,50.92684010804628,14.599068051995445,12.231570770704849
224,51.02778924452542,14.602954290592614,12.230580422735635
225,51.17009882098398,14.608431745893313,12.229184525601688
226,51.23081794283786,14.610768438038832,12.228589013967493
227,51.24455334934037,14.611296995723798,12.228454308223206
228,51.36001383162791,14.615739630812925,12.22732205659156
229,51.734176436571964,14.63013101203935,12.223653992538445
230,51.808817670129685,14.63300093013305,12.222922460534015
231,53.56892831063022,14.700580267386215,12.205692277110494
232,54.10373953177157,14.721157515554431,12.20046455167278
233,54.32025216744904,14.729593250258056,12.198349190048532
234,54.76649449730653,14.746970654517042,12.19399120770327
235,55.47849215694765,14.774671898170944,12.187043123667799
236,56.42043370203151,14.8112721501711,12.177861102414212
237,56.4320672148811,14.81172384821862,12.177747770660595
238,56.65811260452304,14.820498962326305,12.175546020044493
239,56.797606963676735,14.8259126123425,12.174187633804017
240,57.07215272291307,14.836564056751435,12.171514863557611
241,57.570523323759545,14.85588754276749,12.166665607199128
242,57.732643857808455,14.862170273293977,12.165088835309149
243,57.90610030975447,14.86889056069483,12.16340219059871
244,58.38885495848378,14.887584594135909,12.158710083470453
245,58.76705122395243,14.902219987293364,12.155036360688314
246,58.803150069465694,14.903616488217601,12.154685801843236
247,59.335051161458274,14.92418430223642,12.149522453518806
248,59.45480727586952,14.928812761127944,12.148360454008277
249,60.0192389910937,14.950833493977584,12.142886295283006
250,60.25506848965862,14.96009179539459,12.140600344911732
251,60.31384021811217,14.962398549319857,12.140030771973827
252,60.34370282046942,14.963570555998281,12.139741382539654
253,60.44769358611893,14.967651415451826,12.138733731682727
254,60.567282159648634,14.972343548716026,12.137575119114835
255,61.10163146878421,14.99329833635948,12.132400495490288
256,61.533687723171624,15.010228825359292,12.128219256884329
257,62.76369378105387,15.058365035922812,12.116329505977255
258,62.98853186647636,15.067154066601546,12.114158321952495
259,63.038782970103284,15.06911798489051,12.113673157102227
260,63.193607467710464,15.075167883068431,12.112178569973366
261,63.60172012385312,15.091108235849873,12.108240432621571
262,63.74814114743273,15.096824779855972,12.106828069791028
263,64.57095735838875,15.12892480492956,12.098896653207412
264,64.99870905929282,15.145596198103163,12.094777024017993
265,65.71394994372865,15.173447598841264,12.087894164913443
266,65.75669138119798,15.175137946417088,12.08748307820646
267,65.88686608717141,15.180287917727803,12.086231212895079
268,67.90259181259972,15.259899160151846,12.066875846025312
269,68.40686671097075,15.27977602647448,12.062042392277057
270,69.13096190439954,15.308289934758207,12.055108065452977
271,69.3463998095326,15.31676733466471,12.05304630567359
272,70.29940734256334,15.354233450447282,12.043933590859893
273,70.59795879204877,15.365959058097111,12.04108139697231
274,70.70798873330752,15.370279100052336,12.040030541501402
275,70.87689894344359,15.376909475873035,12.038417667400644
276,71.2435546871706,15.391296089824344,12.034917928195867
277,71.35343442712913,15.395605876922616,12.033869485855092
278,71.62265954603521,15.406162498273638,12.031301317349907
