,t(ms),V(mV) Spine Head - M,V(mV) Spine Head - lb,V(mV) Spine Head - ub,V(mV) Dendritic shaft - M,V(mV) Dendritic shaft - lb,V(mV) Dendritic shaft - ub,V(mV) Soma - M,V(mV) Soma - lb,V(mV) Soma - ub
7082,234.10000000000002,-69.99966196839192,-69.99981885317256,-69.99940756069955,-69.99982761792266,-69.9999134143797,-69.99964475248771,-69.99994683158957,-69.99997241818393,-69.99989482319229
7083,234.15000000000003,-69.99966197206858,-69.99981885803027,-69.99940756453242,-69.99982761834967,-69.99991341499597,-69.99964475784752,-69.99994683210828,-69.99997241890813,-69.9998948240983
7084,234.20000000000005,-69.99966197573444,-69.99981886287371,-69.99940756835403,-69.99982761877543,-69.99991341561042,-69.9996447631916,-69.99994683262547,-69.99997241963021,-69.99989482500166
7085,234.25,-69.99966197938953,-69.99981886770293,-69.99940757216442,-69.99982761919993,-69.99991341622308,-69.99964476851997,-69.99994683314114,-69.99997242035016,-69.99989482590236
7086,234.3,-69.99966198303389,-69.99981887251796,-69.99940757596362,-69.99982761962319,-69.99991341683393,-69.9996447738327,-69.99994683365529,-69.99997242106801,-69.99989482680041
7087,234.35000000000002,-69.99966198666755,-69.99981887731886,-69.99940757975165,-69.9998276200452,-69.99991341744298,-69.99964477912984,-69.99994683416793,-69.99997242178374,-69.99989482769584
7088,234.40000000000003,-69.99966199029053,-69.99981888210566,-69.99940758352857,-69.99982762046598,-69.99991341805026,-69.99964478441142,-69.99994683467906,-69.99997242249736,-69.99989482858862
7089,234.45000000000005,-69.99966199390288,-69.99981888687839,-69.99940758729439,-69.99982762088551,-69.99991341865574,-69.99964478967748,-69.99994683518871,-69.9999724232089,-69.99989482947879
7090,234.5,-69.99966199750462,-69.99981889163712,-69.99940759104915,-69.99982762130382,-69.99991341925944,-69.99964479492809,-69.99994683569685,-69.99997242391835,-69.99989483036634
7091,234.55,-69.99966200109577,-69.99981889638187,-69.99940759479288,-69.9998276217209,-69.99991341986137,-69.99964480016327,-69.99994683620349,-69.99997242462571,-69.9998948312513
7092,234.60000000000002,-69.99966200467638,-69.99981890111269,-69.99940759852564,-69.99982762213675,-69.99991342046154,-69.99964480538308,-69.99994683670866,-69.999972425331,-69.99989483213365
7093,234.65000000000003,-69.99966200824649,-69.99981890582961,-69.99940760224742,-69.99982762255138,-69.99991342105994,-69.99964481058755,-69.99994683721233,-69.9999724260342,-69.9998948330134
7094,234.70000000000005,-69.9996620118061,-69.9998189105327,-69.99940760595827,-69.9998276229648,-69.9999134216566,-69.99964481577676,-69.99994683771453,-69.99997242673535,-69.99989483389058
7095,234.75,-69.99966201535526,-69.99981891522195,-69.99940760965823,-69.999827623377,-69.9999134222515,-69.99964482095072,-69.99994683821525,-69.99997242743444,-69.99989483476517
7096,234.8,-69.999662018894,-69.99981891989745,-69.99940761334732,-69.999827623788,-69.99991342284464,-69.99964482610949,-69.99994683871451,-69.99997242813149,-69.9998948356372
7097,234.85000000000002,-69.99966202242234,-69.99981892455921,-69.99940761702558,-69.99982762419778,-69.99991342343604,-69.99964483125311,-69.9999468392123,-69.99997242882648,-69.99989483650667
7098,234.90000000000003,-69.99966202594032,-69.99981892920728,-69.99940762069303,-69.99982762460635,-69.99991342402572,-69.99964483638162,-69.99994683970863,-69.99997242951943,-69.99989483737359
7099,234.95000000000005,-69.99966202944798,-69.9998189338417,-69.99940762434971,-69.99982762501374,-69.99991342461365,-69.99964484149507,-69.99994684020349,-69.99997243021035,-69.99989483823796
7100,235.0,-69.99966203294534,-69.99981893846251,-69.99940762799565,-69.99982762541991,-69.99991342519986,-69.99964484659351,-69.99994684069691,-69.99997243089923,-69.9998948390998
7101,235.05,-69.99966203643241,-69.99981894306976,-69.99940763163089,-69.9998276258249,-69.99991342578436,-69.99964485167698,-69.99994684118887,-69.9999724315861,-69.9998948399591
