,AePSD (um^2),[Ca2+]_{max} (uM),SiS (0) or DiS (1)
145,0.223372,0.40926429615416593,0.0
146,0.163936,0.43037714436997954,0.0
147,0.0983935,0.3357148905097215,0.0
148,0.0327065,0.2148114429797501,0.0
149,0.129216,0.38158515183129327,0.0
150,0.313742,0.5694178627931559,0.0
151,0.0436018,0.2648344982030343,0.0
152,0.288154,0.6553967365053875,0.0
153,0.0289321,0.2929291575228341,0.0
154,0.159629,0.41558652865715306,0.0
155,0.117092,0.4495295210764856,0.0
156,0.0513085,0.2843358830379865,0.0
157,0.029004,0.19351772129592923,0.0
158,0.0648903,0.3600169109939704,0.0
159,0.0220948,0.17755693671205022,0.0
160,0.102627,0.5035838676297284,0.0
161,0.0787031,0.42031495401372854,0.0
162,0.0905661,0.3756079941493673,0.0
163,0.232866,0.6907714273109434,0.0
164,0.0351701,0.2226496910247708,0.0
165,0.183599,0.4195647655723317,0.0
166,0.437956,0.9604240815804942,0.0
167,0.131493,0.3356475680257084,0.0
168,0.060959,0.29320161412995505,0.0
169,0.0509115,0.2620698407981721,0.0
170,0.120518,0.7222185293868176,0.0
171,0.134363,0.48463941071423344,0.0
172,0.0945675,0.40423776033966174,0.0
173,0.0300793,0.16891267652646216,0.0
174,0.018264,0.22637689675966646,0.0
175,0.143069,0.5805909675805846,0.0
176,0.134727,0.276743423835889,0.0
177,0.0488752,0.37610049214055796,0.0
178,0.0391742,0.19523039125901306,0.0
179,0.0491983,0.21194000346327493,0.0
180,0.0499292,0.37582349295607276,0.0
181,0.10189,0.28778573083616243,0.0
182,0.0488758,0.26127300957847055,0.0
183,0.13213,0.5971771524990519,0.0
184,0.0208744,0.2681736989799899,0.0
185,0.341342,1.0175645720081026,0.0
186,0.0929988,0.2850088143409053,0.0
187,0.0883958,0.348763813594572,0.0
188,0.245645,0.6540548391555953,0.0
189,0.226668,0.5637024686836339,0.0
190,0.0141897,0.1097088662760993,0.0
191,0.0208573,0.49199713453760774,0.0
192,0.165566,0.5796435185466065,0.0
193,0.107081,0.3185707666824482,0.0
194,0.21862,0.42026069686002665,0.0
195,0.214452,0.43705576718743877,0.0
196,0.0241365,0.1384891344817044,0.0
197,0.0323779,0.2250026344579467,0.0
198,0.0897458,0.2064549350818469,0.0
199,0.0855953,0.29623970582923187,0.0
